breath,clock,start_s,peak_s,end_s,inhale_dur_s,exhale_dur_s,cycle_dur_s,rate_bpm,ie_ratio,duty_cycle,inhale_amp_norm,exhale_amp_norm,inhale_amp_raw,inhale_slope_norm,exhale_slope_norm,onset_level,peak_level,offset_level,n_holds,hold_dur_s,event_marker,phase,condition
1,2025-08-08 15:53:32.560000,7.2,8.3,10.5,1.1,2.2,3.3,18.182,0.5,0.3333,0.2222,-0.2282,2.7835,0.202,-0.1037,0.0004,0.2225,-0.0056,1,0.55,biometric_baseline,biometric_baseline,unmarked
2,2025-08-08 15:53:35.855000,10.5,11.8,13.6,1.3,1.8,3.1,19.355,0.7222,0.4194,0.3148,-0.3148,3.9442,0.2422,-0.1749,-0.0056,0.3092,-0.0055,0,0.0,biometric_baseline,biometric_baseline,unmarked
3,2025-08-08 15:53:38.951000,13.6,14.9,16.75,1.3,1.85,3.15,19.048,0.7027,0.4127,0.1264,-0.1253,1.5833,0.0972,-0.0677,-0.0055,0.1208,-0.0045,1,0.55,biometric_baseline,biometric_baseline,unmarked
4,2025-08-08 15:53:42.064000,16.75,18.3,22.2,1.55,3.9,5.45,11.009,0.3974,0.2844,0.3621,-0.3077,4.5369,0.2336,-0.0789,-0.0045,0.3577,0.0499,0,0.0,biometric_baseline,biometric_baseline,unmarked
5,2025-08-08 15:53:47.550000,22.2,24.7,28.4,2.5,3.7,6.2,9.677,0.6757,0.4032,0.5771,-0.6267,7.2305,0.2309,-0.1694,0.0499,0.6271,0.0004,0,0.0,biometric_baseline,biometric_baseline,unmarked
6,2025-08-08 15:53:53.764000,28.4,32.7,36.0,4.3,3.3,7.6,7.895,1.303,0.5658,0.6107,-0.6057,7.6512,0.142,-0.1836,0.0004,0.6111,0.0054,0,0.0,biometric_baseline,biometric_baseline,unmarked
7,2025-08-08 15:54:01.354000,36.0,40.8,43.8,4.8,3.0,7.8,7.692,1.6,0.6154,0.4053,-0.4229,5.0781,0.0844,-0.141,0.0054,0.4107,-0.0122,0,0.0,biometric_baseline,biometric_baseline,unmarked
8,2025-08-08 15:54:09.068000,43.8,46.65,50.3,2.85,3.65,6.5,9.231,0.7808,0.4385,0.4777,-0.4654,5.9852,0.1676,-0.1275,-0.0122,0.4655,0.0001,0,0.0,biometric_baseline,biometric_baseline,unmarked
9,2025-08-08 15:54:15.632000,50.3,51.5,53.6,1.2,2.1,3.3,18.182,0.5714,0.3636,0.265,-0.265,3.3194,0.2208,-0.1262,0.0001,0.265,0.0001,0,0.0,biometric_baseline,biometric_baseline,unmarked
10,2025-08-08 15:54:18.941000,53.6,56.35,59.75,2.75,3.4,6.15,9.756,0.8088,0.4472,0.4057,-0.3922,5.0826,0.1475,-0.1154,0.0001,0.4058,0.0135,1,1.05,biometric_baseline,biometric_baseline,unmarked
11,2025-08-08 15:54:25.056000,59.75,62.75,65.95,3.0,3.2,6.2,9.677,0.9375,0.4839,0.3957,-0.4087,4.9579,0.1319,-0.1277,0.0135,0.4093,0.0006,0,0.0,biometric_baseline,biometric_baseline,unmarked
