breath,start_s,mid_s,peak_s,end_s,clock,inhale_dur_s,exhale_dur_s,cycle_dur_s,rate_bpm,ie_ratio,duty_cycle,inhale_amp_norm,exhale_amp_norm,inhale_amp_raw,inhale_slope_norm,n_holds,hold_dur_s,event_marker,phase,amp_local_median,amp_ratio,is_sigh,cv_cycle_w,succ_diff_w,autocorr1_w,arousal_index_z
1,7.2,8.85,8.3,10.5,2025-08-08 15:53:32.560000,1.1,2.2,3.3,18.182,0.5,0.3333,0.2222,-0.2282,2.7835,0.202,1,0.55,biometric_baseline,biometric_baseline,4.95786,0.561,0,0.339,1.23,0.5506,-0.3019
2,10.5,12.05,11.8,13.6,2025-08-08 15:53:35.855000,1.3,1.8,3.1,19.355,0.7222,0.4194,0.3148,-0.3148,3.9442,0.2422,0,0.0,biometric_baseline,biometric_baseline,4.74736,0.831,0,0.3411,1.3318,0.4744,-0.2314
3,13.6,15.175,14.9,16.75,2025-08-08 15:53:38.951000,1.3,1.85,3.15,19.048,0.7027,0.4127,0.1264,-0.1253,1.58329,0.0972,1,0.55,biometric_baseline,biometric_baseline,4.53687,0.349,0,0.3543,1.275,0.5161,-0.2056
4,16.75,19.475,18.3,22.2,2025-08-08 15:53:42.064000,1.55,3.9,5.45,11.009,0.3974,0.2844,0.3621,-0.3077,4.53687,0.2336,0,0.0,biometric_baseline,biometric_baseline,4.48967,1.011,0,0.3449,1.2731,0.5247,-0.6724
5,22.2,25.3,24.7,28.4,2025-08-08 15:53:47.550000,2.5,3.7,6.2,9.677,0.6757,0.4032,0.5771,-0.6267,7.23054,0.2309,0,0.0,biometric_baseline,biometric_baseline,4.53687,1.594,0,0.3312,1.2714,0.512,-0.7889
6,28.4,32.2,32.7,36.0,2025-08-08 15:53:53.764000,4.3,3.3,7.6,7.895,1.303,0.5658,0.6107,-0.6057,7.65115,0.142,0,0.0,biometric_baseline,biometric_baseline,4.74736,1.612,0,0.3223,1.2433,0.5199,-0.9143
7,36.0,39.9,40.8,43.8,2025-08-08 15:54:01.354000,4.8,3.0,7.8,7.692,1.6,0.6154,0.4053,-0.4229,5.07805,0.0844,0,0.0,biometric_baseline,biometric_baseline,4.95786,1.024,0,0.3152,1.2875,0.48,-0.9482
8,43.8,47.05,46.65,50.3,2025-08-08 15:54:09.068000,2.85,3.65,6.5,9.231,0.7808,0.4385,0.4777,-0.4654,5.98518,0.1676,0,0.0,biometric_baseline,biometric_baseline,5.01796,1.193,0,0.3088,1.2147,0.4845,-0.8853
9,50.3,51.95,51.5,53.6,2025-08-08 15:54:15.632000,1.2,2.1,3.3,18.182,0.5714,0.3636,0.265,-0.265,3.31941,0.2208,0,0.0,biometric_baseline,biometric_baseline,4.95786,0.67,0,0.3242,1.2417,0.4828,-0.3496
10,53.6,56.675,56.35,59.75,2025-08-08 15:54:18.941000,2.75,3.4,6.15,9.756,0.8088,0.4472,0.4057,-0.3922,5.08259,0.1475,1,1.05,biometric_baseline,biometric_baseline,5.01796,1.013,0,0.3187,1.3737,0.3762,-0.8249
